uid,time,page
71,2464,page50
71,2480,page75
71,2499,page54
88,2996,page1
88,3019,page63
55,2176,page1
32,2545,page1
32,2550,page6
32,2557,page73
88,3183,page1
88,3199,page72
88,3203,page51
11,4218,page1
32,2702,page1
32,2707,page41
32,2726,page73
32,2741,page71
32,2757,page64
70,2790,page1
70,2806,page68
70,2823,page55
70,2840,page14
61,2177,page1
61,2199,page80
61,2210,page58
61,2218,page2
61,2235,page22
61,2258,page51
98,2828,page1
98,2831,page60
91,4264,page1
91,4274,page89
91,4293,page18
91,4314,page51
91,4321,page96
75,3340,page1
75,3341,page47
75,3369,page95
65,3196,page1
2,2747,page1
19,3372,page1
19,3382,page28
64,2667,page1
11,4269,page1
11,4271,page18
21,2508,page54
21,2512,page11
40,4170,page1
93,2025,page1
93,2030,page93
49,2973,page1
85,2571,page1
85,2598,page51
93,2145,page1
93,2161,page72
93,2190,page28
93,2216,page87
93,2239,page28
93,2248,page64
53,3631,page1
74,3043,page1
74,3069,page78
74,3071,page63
74,3099,page13
30,3732,page1
29,4419,page1
29,4428,page68
29,4453,page24
32,2981,page1
32,2995,page17
32,3003,page97
99,3256,page87
19,3531,page1
31,2631,page1
93,2281,page96
72,2971,page19
72,2986,page17
92,2438,page31
92,2461,page49
92,2478,page25
71,2577,page1
20,2504,page1
20,2505,page20
20,2534,page99
87,3001,page1
87,3024,page8
87,3048,page68
5,2971,page1
0,3912,page1
35,3596,page1
35,3600,page25
18,2209,page1
18,2224,page99
44,2663,page1
64,2761,page1
58,3823,page1
10,3089,page1
90,3045,page1
30,3837,page1
79,2258,page97
79,2268,page60
96,2778,page1
18,2415,page1
18,2438,page100
82,3493,page1
69,3779,page1
85,2680,page1
85,2703,page39
85,2719,page28
85,2736,page53
68,3573,page1
75,3559,page1
75,3578,page86
75,3605,page18
75,3619,page58
75,3640,page63
75,3668,page81
16,2851,page1
16,2856,page17
39,2274,page1
39,2287,page79
39,2301,page51
7,3367,page1
7,3377,page77
1,3485,page1
1,3496,page78
1,3519,page98
1,3522,page93
52,3500,page1
49,3098,page1
49,3107,page93
49,3135,page42
49,3142,page37
61,2309,page1
61,2317,page79
61,2336,page81
21,2687,page1
70,2965,page1
70,2984,page44
97,2438,page1
20,2643,page1
20,2649,page66
20,2674,page80
20,2676,page34
1,3639,page36
1,3657,page12
41,3653,page1
14,3608,page1
14,3636,page97
54,2407,page1
44,2709,page1
44,2721,page87
44,2730,page11
57,3288,page83
76,3350,page1
40,4267,page1
35,3716,page1
55,2339,page1
55,2367,page1
55,2382,page49
23,2266,page1
23,2290,page59
23,2302,page41
64,2820,page1
64,2833,page97
64,2856,page19
64,2873,page26
8,1523,page1
8,1532,page23
83,2043,page70
83,2059,page10
83,2084,page95
56,3579,page1
31,2699,page73
31,2706,page42
11,4304,page1
47,3553,page1
70,3026,page1
2,2911,page1
2,2929,page2
2,2949,page3
2,2976,page80
58,3910,page1
58,3918,page85
68,3700,page1
10,3113,page1
10,3139,page82
10,3163,page21
67,2212,page1
69,3892,page1
5,3095,page1
5,3103,page45
26,2487,page1
2,3053,page26
34,2383,page1
34,2384,page21
34,2409,page29
19,3573,page1
19,3585,page76
19,3597,page28
19,3612,page79
19,3639,page57
19,3644,page79
19,3649,page27
19,3656,page25
19,3678,page75
75,3856,page1
75,3869,page16
41,3791,page1
39,2322,page1
21,2756,page77
60,2582,page1
42,3407,page1
42,3426,page32
42,3442,page92
24,3209,page41
24,3212,page23
42,3523,page1
42,3526,page38
42,3550,page5
42,3567,page21
42,3591,page94
42,3595,page45
42,3607,page100
42,3621,page10
42,3636,page79
59,2777,page1
42,3797,page1
42,3801,page8
42,3816,page99
42,3839,page88
42,3865,page94
5,3132,page1
1,3782,page1
50,2929,page1
94,3046,page1
94,3060,page30
94,3131,page1
30,3854,page1
16,3015,page1
16,3021,page38
16,3025,page11
16,3025,page88
92,2488,page1
2,3220,page70
2,3246,page64
2,3264,page76
82,3594,page1
5,3254,page62
5,3256,page21
5,3268,page3
5,3293,page48
5,3302,page64
51,3577,page1
51,3589,page3
35,3783,page1
35,3812,page64
35,3837,page34
64,3044,page1
64,3055,page52
56,3736,page1
56,3740,page15
82,3639,page38
43,3277,page1
43,3287,page80
7,3444,page61
7,3453,page24
7,3466,page68
7,3474,page18
4,2331,page1
4,2354,page64
85,2761,page1
73,2832,page1
43,3415,page1
20,2676,page1
20,2681,page21
20,2693,page70
20,2714,page21
20,2738,page46
20,2738,page94
36,2027,page1
36,2028,page82
36,2048,page65
78,3230,page1
15,2449,page1
97,2587,page1
97,2595,page66
97,2622,page65
68,3778,page1
44,2850,page1
71,2677,page1
18,2549,page1
18,2567,page28
18,2585,page23
18,2604,page6
18,2606,page28
18,2607,page90
18,2607,page22
46,2416,page1
48,3946,page1
48,3947,page15
37,3597,page78
31,2876,page1
35,3975,page1
67,2334,page1
67,2352,page42
67,2370,page61
99,3333,page1
99,3355,page24
69,4059,page1
43,3537,page1
56,3825,page1
56,3845,page94
56,3847,page63
56,3850,page29
56,3854,page52
33,2038,page1
86,3713,page1
86,3714,page33
71,2828,page1
35,4127,page1
46,2439,page1
88,3477,page1
88,3477,page47
88,3481,page65
56,4013,page1
49,3254,page1
49,3278,page30
49,3304,page4
97,2656,page21
62,2879,page1
61,2634,page1
76,3484,page1
76,3488,page90
0,4024,page1
0,4032,page49
0,4045,page19
3,2577,page1
3,2601,page67
3,2612,page79
12,2495,page1
12,2497,page20
12,2519,page88
60,2722,page1
60,2725,page83
39,2330,page1
41,3951,page1
41,3953,page19
41,3976,page52
41,3996,page16
41,3998,page40
41,4013,page13
41,4036,page94
41,4045,page49
37,3684,page1
37,3709,page25
74,3235,page1
74,3256,page29
25,3011,page1
94,3141,page1
39,2486,page1
39,2502,page34
39,2516,page95
39,2517,page79
39,2531,page33
90,3149,page1
48,4034,page1
48,4050,page94
9,3976,page1
9,3995,page92
45,3039,page1
69,4198,page1
69,4227,page85
96,2842,page1
74,3452,page11
43,3637,page1
25,3143,page1
95,2121,page1
95,2139,page59
41,4137,page1
21,2846,page1
44,2971,page1
67,2405,page1
67,2430,page42
99,3371,page1
52,3518,page1
77,3362,page1
77,3362,page66
10,3244,page98
79,2430,page1
86,3717,page1
70,3031,page1
70,3037,page79
70,3055,page14
70,3066,page53
95,2168,page1
96,2869,page1
21,2907,page1
22,2342,page71
22,2349,page9
53,3750,page1
53,3751,page20
53,3760,page54
44,2987,page1
31,2890,page1
56,4103,page1
29,4593,page1
29,4610,page66
29,4638,page34
29,4663,page30
90,3310,page1
56,4188,page1
72,3037,page1
72,3044,page67
72,3064,page38
80,3579,page1
26,2638,page1
77,3465,page1
77,3482,page50
16,3164,page1
6,3965,page1
46,2609,page1
39,2641,page1
13,3058,page1
13,3087,page48
13,3095,page25
13,3114,page8
13,3135,page68
66,3201,page95
66,3230,page21
66,3240,page95
66,3244,page60
9,4046,page1
9,4238,page38
9,4248,page18
59,2919,page1
59,2937,page28
45,3171,page1
45,3180,page70
45,3188,page85
43,3817,page1
45,3354,page1
87,3245,page1
87,3273,page13
87,3278,page86
52,3599,page1
52,3618,page66
67,2491,page1
71,2995,page1
71,3003,page47
39,2771,page1
1,3929,page1
1,3930,page30
7,3610,page1
7,3619,page23
49,3375,page1
19,3685,page1
89,3701,page1
10,3304,page1
10,3325,page59
10,3344,page46
10,3354,page81
53,3929,page1
53,3932,page35
93,2461,page1
93,2464,page34
38,3461,page1
38,3486,page89
38,3490,page8
38,3495,page37
69,4397,page1
38,3528,page1
95,2170,page1
95,2190,page61
95,2199,page31
95,2206,page34
95,2224,page91
95,2227,page51
74,3527,page1
92,2588,page1
54,2573,page77
85,2900,page1
69,4573,page1
69,4597,page83
69,4612,page17
36,2194,page21
10,3553,page1
10,3574,page40
10,3603,page11
10,3616,page100
10,3622,page8
46,2663,page1
20,2806,page33
20,2817,page17
67,2571,page1
67,2573,page77
24,3276,page1
24,3279,page9
24,3305,page35
24,3389,page1
47,3721,page1
47,3742,page53
47,3753,page92
62,3053,page1
62,3065,page42
18,2776,page1
60,2756,page27
53,4017,page1
53,4018,page37
86,3916,page1
86,3924,page74
86,3937,page22
38,3586,page1
38,3597,page66
38,3607,page81
69,4668,page51
82,3837,page1
44,3147,page1
44,3174,page65
44,3192,page11
44,3214,page96
44,3214,page30
44,3242,page33
78,3397,page1
24,3500,page1
21,2918,page1
21,2940,page34
16,3281,page1
16,3294,page27
78,3556,page1
7,3682,page1
7,3687,page41
7,3700,page42
26,2711,page1
69,4686,page1
69,4712,page44
69,4719,page69
25,3309,page1
25,3329,page55
25,3336,page19
83,2202,page1
83,2223,page66
83,2227,page70
83,2253,page55
49,3398,page1
33,2194,page1
33,2194,page60
8,1541,page1
87,3448,page1
87,3472,page96
77,3634,page1
77,3638,page89
77,3663,page54
30,3986,page1
38,3788,page1
89,3755,page1
54,2663,page1
95,2421,page1
95,2430,page100
58,3959,page1
79,2593,page1
79,2611,page57
96,3029,page1
96,3047,page7
9,4420,page1
9,4420,page42
83,2286,page64
62,3097,page1
90,3335,page1
90,3340,page5
90,3357,page52
90,3369,page13
90,3374,page51
0,4051,page1
48,4141,page1
80,3670,page1
80,3675,page30
84,3141,page1
29,4785,page1
29,4796,page48
73,2893,page23
19,3858,page85
45,3541,page1
68,3896,page47
37,3744,page1
37,3757,page53
37,3776,page70
37,3803,page54
33,2326,page1
44,3318,page1
44,3341,page71
58,4154,page1
58,4182,page4
68,3955,page1
63,2660,page1
90,3443,page1
90,3447,page84
90,3458,page6
53,4189,page1
53,4284,page1
7,3748,page1
77,3671,page1
6,4104,page1
6,4123,page13
6,4125,page37
58,4197,page1
44,3407,page1
11,4444,page1
25,3404,page1
25,3406,page6
25,3427,page45
49,3564,page54
49,3573,page34
88,3634,page1
88,3661,page19
44,3558,page1
44,3560,page95
68,4126,page1
68,4143,page39
84,3213,page1
55,2402,page1
55,2430,page5
55,2444,page84
55,2459,page17
16,3369,page1
16,3379,page32
14,3802,page1
14,3809,page41
14,3821,page19
14,3823,page47
26,2900,page1
26,2926,page74
26,2938,page68
38,3900,page1
65,3248,page1
17,3886,page1
90,3597,page1
76,3598,page30
17,4032,page1
22,2408,page1
46,2672,page1
46,2699,page66
46,2709,page45
80,3758,page1
47,3866,page1
47,3878,page79
24,3615,page1
82,3910,page1
82,3935,page67
87,3654,page1
87,3670,page93
87,3685,page75
87,3696,page39
67,2591,page1
84,3258,page1
84,3262,page62
84,3281,page87
84,3301,page40
58,4218,page1
79,2738,page1
78,3588,page1
78,3597,page81
78,3601,page83
87,3785,page1
87,3804,page73
87,3821,page1
12,2655,page1
12,2668,page69
5,3302,page1
74,3555,page1
74,3555,page38
74,3573,page42
48,4269,page1
90,3719,page1
86,4121,page34
34,2543,page61
34,2559,page31
28,3088,page1
56,4275,page1
56,4303,page13
56,4331,page41
3,2881,page1
34,2680,page1
34,2687,page32
34,2709,page61
34,2718,page92
15,2486,page1
15,2506,page16
69,4758,page60
55,2595,page1
55,2605,page16
55,2614,page80
55,2620,page59
55,2621,page71
75,3982,page1
74,3616,page1
53,4481,page1
53,4494,page33
53,4521,page90
53,4536,page23
53,4539,page31
47,4035,page1
35,4293,page1
73,2937,page1
73,2954,page42
73,2959,page33
73,3092,page1
34,2884,page1
9,4435,page1
9,4448,page1
9,4466,page61
21,3043,page1
69,4872,page1
97,2753,page8
48,4345,page1
48,4363,page24
48,4375,page98
48,4390,page80
48,4409,page100
29,4832,page1
52,3647,page1
84,3383,page1
73,3167,page1
80,3813,page1
80,3839,page27
3,3025,page1
32,3294,page1
32,3323,page87
91,4326,page1
88,3806,page1
88,3835,page76
19,3952,page1
16,3434,page83
16,3444,page71
16,3460,page10
16,3489,page66
16,3510,page20
84,3498,page1
81,3157,page1
81,3168,page96
81,3173,page86
88,3900,page4
88,3904,page27
56,4393,page1
56,4420,page54
56,4442,page68
56,4461,page98
94,3195,page1
94,3222,page43
94,3238,page88
46,2901,page1
46,2903,page28
50,3025,page1
92,2703,page1
92,2725,page26
17,4130,page1
4,2632,page1
4,2645,page45
27,4172,page1
27,4174,page3
20,2888,page28
20,2897,page75
20,2908,page63
2,3413,page1
2,3430,page76
88,4076,page1
47,4175,page63
47,4187,page47
47,4195,page50
47,4196,page23
85,3057,page30
85,3059,page60
37,3846,page10
37,3869,page25
37,3889,page73
37,3890,page77
37,3916,page74
78,3688,page1
78,3692,page53
78,3706,page39
78,3735,page63
78,3755,page53
78,3781,page65
61,2828,page1
61,2844,page31
21,3099,page1
47,4250,page57
47,4264,page21
98,2950,page51
98,2971,page16
98,2986,page89
98,3005,page1
86,4290,page1
86,4304,page17
12,2721,page1
82,4122,page54
17,4260,page36
17,4270,page5
97,2872,page1
87,3942,page1
57,3308,page1
57,3326,page39
38,4104,page18
53,4703,page1
53,4704,page93
53,4726,page30
50,3119,page1
50,3140,page96
50,3140,page68
7,3846,page1
7,3872,page78
7,3891,page61
46,3012,page1
22,2595,page1
24,3740,page1
24,3747,page61
24,3772,page91
61,2970,page1
61,2987,page49
95,2568,page1
95,2572,page18
95,2575,page98
82,4125,page1
82,4139,page76
82,4155,page35
50,3324,page1
50,3336,page14
27,4183,page78
27,4183,page15
37,4006,page1
37,4023,page56
37,4042,page3
71,3164,page1
90,3761,page1
90,3781,page87
90,3792,page76
46,3055,page1
17,4380,page1
17,4384,page51
17,4413,page9
17,4426,page18
17,4432,page30
52,3814,page1
96,3153,page1
1,3951,page1
1,3963,page86
92,2915,page1
92,2925,page52
48,4575,page1
99,3505,page1
24,3804,page1
56,4499,page1
56,4508,page39
76,3632,page1
77,3771,page1
77,3796,page15
77,3821,page61
99,3587,page82
99,3616,page17
99,3619,page99
99,3678,page1
65,3418,page1
65,3442,page100
25,3623,page1
42,4015,page1
35,4305,page1
60,2951,page1
58,4374,page10
58,4384,page72
58,4394,page1
16,3593,page1
16,3601,page43
16,3601,page48
50,3433,page64
37,4201,page91
37,4224,page59
43,3867,page1
70,3074,page1
70,3094,page23
95,2672,page1
95,2699,page9
95,2700,page55
95,2714,page94
69,5033,page1
0,4161,page1
0,4168,page15
66,3491,page1
37,4243,page1
35,4414,page1
14,3856,page1
51,3706,page1
30,4030,page1
83,2457,page96
83,2485,page54
90,3953,page1
74,3799,page1
95,2745,page79
20,3059,page1
20,3072,page22
20,3074,page62
20,3081,page39
20,3098,page86
21,3295,page1
77,3933,page24
63,2702,page9
63,2718,page42
63,2718,page60
63,2745,page9
63,2765,page14
63,2791,page82
17,4525,page1
17,4533,page88
73,3423,page1
73,3445,page96
62,3102,page1
62,3120,page46
97,2975,page1
1,3968,page1
1,3980,page41
1,3986,page85
84,3511,page1
84,3535,page26
84,3563,page61
84,3568,page6
90,4094,page25
90,4110,page56
90,4129,page35
56,4576,page1
56,4576,page68
56,4602,page62
56,4602,page77
84,3617,page1
84,3617,page18
84,3626,page35
38,4154,page1
82,4322,page9
82,4334,page45
82,4362,page60
1,4027,page1
59,3062,page1
59,3084,page14
59,3113,page83
0,4169,page1
0,4189,page32
0,4200,page45
0,4225,page41
79,2899,page1
69,5042,page1
51,3836,page1
54,2793,page1
88,4123,page1
41,4319,page1
41,4326,page89
41,4345,page59
81,3322,page1
66,3600,page1
66,3615,page7
16,3643,page1
44,3629,page1
51,3999,page1
50,3565,page1
61,3032,page1
61,3043,page57
61,3068,page9
61,3079,page35
20,3162,page43
20,3179,page80
20,3203,page56
20,3203,page88
92,3055,page1
92,3078,page44
92,3089,page68
61,3232,page53
65,3468,page18
62,3304,page1
14,4074,page95
14,4077,page25
14,4095,page67
76,3649,page1
76,3650,page66
76,3668,page72
65,3572,page1
13,3175,page1
66,3662,page1
66,3689,page36
10,3741,page1
30,4151,page1
30,4176,page7
43,3996,page1
43,4012,page90
1,4086,page1
47,4438,page1
47,4458,page51
42,4227,page6
42,4255,page72
8,1652,page1
8,1657,page29
93,2522,page1
78,3871,page1
2,3467,page1
2,3483,page23
2,3497,page11
2,3518,page22
91,4413,page1
91,4413,page63
7,4092,page1
7,4105,page33
51,4070,page1
77,4026,page1
83,2675,page1
68,4309,page1
68,4337,page96
79,3072,page26
79,3084,page54
79,3085,page76
79,3108,page19
79,3108,page64
79,3134,page27
79,3158,page56
36,2450,page1
16,3831,page1
16,3848,page30
16,3857,page85
48,4696,page1
29,4911,page1
29,4920,page95
28,3161,page1
36,2614,page1
81,3360,page20
14,4264,page1
14,4291,page40
14,4299,page84
16,4001,page1
58,4478,page50
58,4503,page38
77,4148,page1
57,3459,page1
57,3485,page24
63,2988,page1
25,3630,page1
25,3640,page86
92,3230,page1
12,2800,page1
12,2809,page62
22,2767,page89
22,2790,page48
10,3833,page66
46,3243,page1
46,3265,page68
46,3279,page56
13,3338,page1
72,3280,page82
72,3308,page82
72,3316,page21
89,3849,page1
89,3862,page47
68,4531,page79
68,4554,page95
68,4574,page33
12,2890,page1
51,4267,page1
51,4278,page81
51,4288,page22
72,3497,page1
46,3392,page1
58,4662,page1
58,4673,page53
58,4680,page2
40,4503,page1
99,3732,page1
99,3737,page52
55,2760,page29
83,2832,page42
83,2855,page100
87,4136,page1
87,4138,page86
61,3235,page1
61,3250,page79
61,3266,page13
76,3897,page1
76,3909,page93
76,3910,page56
76,3911,page100
76,3926,page31
76,3940,page88
76,3945,page69
82,4445,page1
81,3512,page1
81,3533,page63
81,3538,page67
15,2511,page1
15,2540,page37
55,2810,page1
79,3349,page1
96,3170,page1
96,3174,page9
96,3175,page42
20,3302,page1
20,3318,page10
20,3329,page32
15,2735,page26
90,4215,page74
14,4470,page1
14,4481,page45
14,4493,page22
14,4497,page3
48,4856,page1
48,4870,page20
48,4887,page27
76,4061,page1
76,4061,page90
76,4072,page3
49,3689,page1
49,3695,page48
49,3711,page37
53,4889,page1
41,4525,page87
31,3269,page67
31,3272,page86
24,3873,page1
24,3875,page62
24,3888,page89
74,3937,page75
59,3304,page1
59,3316,page34
59,3318,page78
59,3326,page98
26,3011,page1
26,3020,page81
68,4579,page1
68,4581,page67
68,4600,page33
37,4419,page1
4,2823,page1
4,2823,page72
4,2831,page4
38,4156,page1
44,4069,page1
1,4163,page1
37,4597,page77
97,3106,page1
97,3111,page37
34,3232,page1
34,3233,page94
64,3148,page1
64,3154,page16
8,1817,page1
34,3361,page1
34,3374,page21
34,3397,page56
12,2916,page1
47,4503,page1
56,4750,page1
58,4680,page1
27,4216,page83
27,4245,page1
93,2550,page1
93,2557,page50
68,4712,page1
68,4721,page76
68,4747,page31
6,4307,page1
6,4330,page97
6,4336,page39
6,4353,page77
33,2365,page1
33,2389,page1
33,2407,page72
49,3899,page26
49,3920,page46
49,3934,page53
80,3866,page1
80,3889,page40
23,2363,page1
23,2381,page5
23,2384,page57
29,5225,page1
29,5230,page87
29,5231,page47
29,5240,page67
28,3265,page1
28,3269,page45
53,5041,page1
53,5056,page64
18,3031,page1
18,3039,page82
18,3050,page54
9,4654,page1
85,3302,page1
85,3330,page10
85,3356,page14
0,4424,page1
0,4428,page2
84,3639,page1
67,2608,page1
41,4679,page1
41,4697,page4
41,4715,page57
41,4739,page67
41,4745,page69
41,4746,page71
41,4762,page54
41,4773,page8
41,4796,page36
41,4809,page1
41,4816,page20
82,4681,page1
82,4705,page88
77,4159,page1
34,3517,page1
34,3541,page7
34,3556,page6
34,3583,page32
19,4084,page1
12,2989,page1
12,3012,page38
12,3024,page64
12,3038,page59
12,3051,page55
12,3075,page36
12,3082,page15
12,3111,page32
12,3122,page70
5,3506,page1
5,3513,page38
5,3515,page93
71,3401,page45
71,3429,page13
71,3434,page97
83,2927,page1
83,2944,page99
98,3077,page1
98,3094,page68
73,3451,page1
73,3468,page14
73,3492,page82
73,3496,page80
73,3517,page6
73,3534,page54
73,3556,page42
19,4153,page1
6,4359,page1
6,4362,page67
6,4391,page65
6,4406,page38
60,3274,page1
57,3513,page1
57,3530,page99
57,3554,page30
57,3575,page45
5,3696,page1
67,2775,page1
58,4691,page1
70,3217,page1
37,4917,page1
37,4929,page18
60,3385,page7
73,3655,page1
39,2822,page1
84,3901,page1
89,3929,page91
58,4724,page1
58,4730,page26
89,4112,page1
89,4123,page13
89,4144,page84
89,4149,page18
10,3899,page1
61,3337,page24
97,3209,page83
97,3209,page12
84,3903,page1
26,3059,page1
26,3084,page42
26,3094,page79
26,3113,page99
43,4184,page1
43,4184,page27
68,4828,page1
7,4420,page1
7,4431,page75
81,3689,page1
29,5361,page1
29,5361,page25
72,3526,page1
72,3528,page87
72,3554,page28
63,3038,page1
81,3763,page1
81,3786,page80
81,3814,page99
81,3821,page11
56,4876,page1
87,4321,page1
87,4322,page22
87,4337,page12
65,3761,page1
83,2957,page1
27,4290,page1
27,4319,page38
27,4329,page50
24,3989,page1
24,4002,page75
1,4358,page1
50,3769,page62
50,3774,page27
50,3796,page40
80,4069,page1
74,4120,page1
74,4137,page86
74,4153,page80
83,3076,page1
83,3090,page55
83,3106,page87
83,3121,page68
83,3126,page87
87,4460,page5
87,4483,page93
25,3665,page1
51,4447,page11
55,2923,page1
44,4094,page90
59,3410,page1
59,3424,page2
59,3450,page52
80,4216,page1
80,4242,page54
80,4258,page11
51,4454,page1
51,4481,page43
51,4500,page94
51,4508,page14
88,4178,page1
88,4185,page37
50,4032,page56
50,4051,page90
81,3992,page1
89,4167,page1
59,3527,page1
59,3538,page63
39,2826,page1
67,2857,page1
67,2866,page49
67,2873,page43
67,2889,page21
17,4728,page1
17,4739,page31
17,4746,page38
17,4772,page88
17,4772,page8
24,4126,page1
24,4130,page61
58,4756,page1
58,4778,page76
58,4788,page76
93,2696,page1
60,3513,page1
60,3539,page48
58,4910,page75
75,4209,page1
75,4216,page39
75,4242,page92
75,4257,page93
75,4276,page31
75,4301,page97
72,3686,page1
65,3906,page1
98,3210,page1
98,3212,page36
98,3229,page80
92,3348,page1
92,3365,page73
34,3649,page1
48,4943,page1
55,3030,page1
55,3032,page88
55,3048,page2
87,4593,page1
87,4605,page42
87,4624,page33
87,4625,page57
87,4631,page3
87,4637,page40
87,4646,page51
87,4655,page63
99,3934,page1
99,3946,page100
99,3973,page25
99,3976,page11
99,4003,page26
63,3046,page57
27,4495,page1
40,4665,page1
92,3401,page1
23,2491,page1
25,3709,page1
25,3734,page93
25,3736,page80
15,2858,page1
64,3192,page1
6,4495,page1
19,4203,page1
19,4232,page19
19,4244,page13
19,4255,page57
19,4280,page46
65,4099,page1
56,4955,page1
56,4964,page87
71,3580,page1
5,3807,page1
5,3821,page53
5,3849,page44
82,4780,page1
82,4802,page20
51,4620,page99
92,3482,page54
83,3287,page1
2,3686,page1
2,3697,page54
63,3107,page1
86,4613,page1
4,2930,page1
4,2952,page34
4,2960,page46
4,2988,page22
29,5362,page1
55,3224,page26
55,3246,page53
97,3264,page1
97,3290,page56
34,3657,page1
38,4252,page1
38,4259,page31
38,4288,page74
38,4303,page81
88,4465,page11
88,4488,page89
88,4499,page30
88,4509,page22
2,3766,page1
98,3284,page31
33,2458,page34
9,4731,page1
9,4742,page7
9,4743,page37
2,3919,page1
2,3931,page14
11,4602,page50
11,4611,page34
11,4614,page26
11,4633,page7
0,4531,page1
0,4537,page19
0,4545,page86
0,4553,page18
0,4582,page86
0,4611,page1
0,4640,page1
78,4080,page49
78,4103,page85
78,4114,page77
53,5250,page1
53,5274,page71
53,5287,page62
53,5306,page31
38,4307,page1
41,4871,page1
41,4876,page46
41,4876,page75
41,4878,page83
41,4905,page20
41,4913,page19
4,3000,page1
51,4738,page1
51,4747,page58
51,4755,page86
51,4760,page18
51,4765,page82
55,3403,page84
55,3425,page48
8,1900,page1
51,4791,page1
14,4526,page1
97,3310,page1
97,3325,page31
97,3329,page86
68,4997,page1
68,5000,page98
95,2830,page1
95,2854,page61
76,4320,page1
76,4343,page26
76,4359,page92
47,4673,page1
47,4694,page64
24,4302,page1
39,2956,page1
39,2976,page86
39,2978,page16
39,3004,page77
12,3285,page1
12,3312,page43
91,4576,page1
91,4586,page51
44,4372,page1
92,3654,page1
92,3664,page7
41,5079,page1
41,5083,page52
41,5098,page65
15,2990,page1
15,2991,page51
15,3016,page22
15,3031,page81
15,3037,page16
21,3355,page1
21,3384,page4
21,3413,page21
21,3425,page12
8,2071,page1
12,3446,page82
3,3158,page1
3,3165,page46
42,4484,page1
74,4269,page1
80,4447,page1
80,4449,page91
80,4451,page45
12,3480,page65
12,3480,page61
28,3574,page1
28,3596,page86
28,3606,page35
28,3613,page90
86,4748,page1
71,3970,page1
71,3983,page9
71,3990,page60
71,3996,page20
15,3122,page12
73,3816,page1
81,4156,page1
81,4180,page44
55,3613,page1
55,3615,page98
95,3072,page78
85,3564,page64
85,3588,page92
73,3917,page1
73,3943,page16
73,3956,page29
73,3974,page81
73,3979,page89
73,3993,page59
73,4016,page86
73,4024,page4
73,4032,page64
80,4588,page1
80,4595,page86
54,2845,page74
54,2859,page25
61,3538,page1
61,3544,page91
61,3550,page76
61,3553,page12
76,4531,page1
40,4870,page46
54,3048,page52
46,3440,page1
85,3741,page1
21,3449,page1
21,3461,page46
31,3426,page1
31,3432,page97
31,3450,page81
63,3195,page1
63,3206,page98
6,4519,page1
2,3980,page1
2,4007,page67
2,4036,page47
84,4085,page1
30,4274,page80
30,4287,page20
30,4311,page51
30,4319,page88
99,4039,page1
99,4065,page30
16,4164,page1
16,4167,page25
16,4177,page81
47,4741,page1
71,4123,page1
15,3297,page1
47,4911,page1
13,3361,page1
13,3371,page53
13,3381,page18
21,3498,page38
21,3498,page76
91,4606,page1
91,4633,page1
91,4644,page49
91,4662,page69
91,4663,page19
91,4683,page45
91,4694,page42
91,4701,page40
91,4710,page54
62,3441,page1
62,3454,page10
71,4180,page1
71,4204,page56
71,4226,page25
71,4228,page55
71,4252,page51
71,4263,page24
3,3364,page1
3,3382,page21
23,2681,page1
57,3857,page1
45,3689,page1
51,4988,page1
51,5009,page97
51,5032,page25
58,5169,page1
58,5185,page20
58,5208,page34
58,5230,page46
6,4611,page1
45,3885,page1
45,3890,page72
53,5452,page1
64,3328,page34
77,4320,page1
98,3428,page1
98,3448,page13
98,3462,page93
21,3507,page1
21,3529,page23
89,4248,page1
56,5081,page1
56,5096,page34
58,5288,page1
63,3274,page1
3,3426,page1
3,3448,page35
47,5075,page1
38,4467,page1
59,3721,page1
59,3734,page28
59,3739,page19
76,4631,page1
98,3503,page14
17,4962,page1
1,4497,page1
19,4347,page74
83,3415,page1
83,3438,page43
83,3447,page66
83,3470,page88
27,4587,page1
37,4970,page1
51,5096,page1
51,5123,page26
51,5124,page49
7,4528,page1
7,4536,page39
50,4114,page1
50,4128,page21
50,4137,page45
50,4147,page61
45,3910,page1
92,3728,page1
51,5291,page1
51,5313,page12
13,3505,page1
8,2264,page1
8,2285,page18
8,2289,page13
8,2293,page68
65,4267,page1
93,2894,page1
14,4708,page1
14,4720,page92
14,4721,page33
97,3393,page43
97,3404,page20
97,3431,page10
97,3431,page100
97,3448,page73
84,4135,page1
45,3991,page1
91,4783,page1
31,3585,page1
70,3340,page1
70,3351,page83
70,3376,page96
70,3381,page79
70,3384,page89
80,4744,page1
80,4772,page31
54,3169,page1
54,3176,page41
39,3175,page1
39,3179,page21
39,3205,page60
79,3473,page77
79,3476,page99
31,3635,page1
31,3658,page27
79,3548,page1
79,3559,page24
2,4216,page1
2,4223,page40
2,4251,page32
60,3788,page1
96,3377,page4
33,2517,page1
33,2542,page82
33,2570,page59
33,2595,page97
33,2617,page6
33,2646,page21
33,2648,page65
33,2651,page74
23,2778,page1
60,3947,page1
60,3949,page69
13,3620,page1
51,5399,page1
66,4177,page1
5,3943,page1
5,3955,page75
5,3956,page91
5,3958,page41
5,3977,page65
1,4743,page1
74,4355,page1
74,4362,page72
3,3625,page1
3,3643,page81
3,3663,page28
3,3668,page68
3,3686,page84
3,3704,page70
3,3711,page22
3,3736,page43
